# GENERÁLT: eszkozok/sdbh_sdgnt_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSHebrewDic-v0.9.2-en.JSON sha256=1686a25dd31dc9afb7b932927e160070667c73caedad11aa7e4482c21f800e8e
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
strong	strong_kod	osszetett	nyelv	szotar	entry_id	lemma	lexid	entry_kod	domen_kod	domen	glossza	hivatkozas_n
H7433	H7433	—	heber	SDBH	006652000000000	רָאמֹות	006652002002000	—	003001010	Names of Locations	Ramoth	24
H7433	H7433	—	heber	SDBH	006652000000000	רָאמֹות	006652002003000	—	003001010	Names of Locations	Ramoth	1
H7433	H7433	—	heber	SDBH	006652000000000	רָאמֹות	006652002004000	—	003001010	Names of Locations	Ramoth of the Negeb; Ramoth-Negeb	1
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824001001000	—	001002002	Landforms	height; hill	1
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824001002000	—	001002009002	Cultic Sites	high place; place of worship	4
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824002001000	—	003001010	Names of Locations	Ramah	15
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824002002000	—	003001010	Names of Locations	Ramah	16
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824002003000	—	003001010	Names of Locations	Ramah	1
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824002004000	—	003001010	Names of Locations	Ramah	1
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824002005000	—	003001010	Names of Locations	Ramah	2
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824002006000	—	003001010	Names of Locations	Ramath-Mizpeh; Lookout Hill	1
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824002007000	—	003001008	Names of Landforms	Ramath Lehi; "Jawbone Hill"	1
H7434	H7434	—	heber	SDBH	006824000000000	רָמָה	006824002008000	—	003001010	Names of Locations	Ramah of the Negeb; Ramath-Negeb	1
H7435	H7435	—	heber	SDBH	006840000000000	רָמָתִי	006840001001000	—	003001006	Names of Groups	Ramathite; from Ramah	1
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824001001000	—	001002002	Landforms	height; hill	1
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824001002000	—	001002009002	Cultic Sites	high place; place of worship	4
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824002001000	—	003001010	Names of Locations	Ramah	15
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824002002000	—	003001010	Names of Locations	Ramah	16
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824002003000	—	003001010	Names of Locations	Ramah	1
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824002004000	—	003001010	Names of Locations	Ramah	1
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824002005000	—	003001010	Names of Locations	Ramah	2
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824002006000	—	003001010	Names of Locations	Ramath-Mizpeh; Lookout Hill	1
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824002007000	—	003001008	Names of Landforms	Ramath Lehi; "Jawbone Hill"	1
H7437	H7437	—	heber	SDBH	006824000000000	רָמָה	006824002008000	—	003001010	Names of Locations	Ramah of the Negeb; Ramath-Negeb	1
H7438	H7438	—	heber	SDBH	006841000000000	רֹן	006841001001000	—	002001002022	Rejoice	shout	1
H7438	H7438	—	heber	SDBH	006841000000000	רֹן	006841001001000	—	002004001009005	Shout	shout	1
H7439	H7439	—	heber	SDBH	006842000000000	רנה	006842001001000	—	002004001009007	Sounds	to rattle	1
H7440	H7440	—	heber	SDBH	006843000000000	רִנָּה	006843001001000	—	002004001009005	Shout	shout	1
H7440	H7440	—	heber	SDBH	006843000000000	רִנָּה	006843001002000	—	002004001009010	Pray	cry	11
H7440	H7440	—	heber	SDBH	006843000000000	רִנָּה	006843001003000	—	002001002022	Rejoice	shouts of joy	21
H7440	H7440	—	heber	SDBH	006843000000000	רִנָּה	006843001003000	—	002004001009005	Shout	shouts of joy	21
H7440	H7440	—	heber	SDBH	006843000000000	רִנָּה	006843002001000	—	003001007	Names of People	Rinnah	1
H7441	H7441	—	heber	SDBH	006843000000000	רִנָּה	006843001001000	—	002004001009005	Shout	shout	1
H7441	H7441	—	heber	SDBH	006843000000000	רִנָּה	006843001002000	—	002004001009010	Pray	cry	11
H7441	H7441	—	heber	SDBH	006843000000000	רִנָּה	006843001003000	—	002001002022	Rejoice	shouts of joy	21
H7441	H7441	—	heber	SDBH	006843000000000	רִנָּה	006843001003000	—	002004001009005	Shout	shouts of joy	21
H7441	H7441	—	heber	SDBH	006843000000000	רִנָּה	006843002001000	—	003001007	Names of People	Rinnah	1
H7442	H7442a	—	heber	SDBH	006735000000000	רון	006735001001000	—	002003002007	Control	to shake off	1
H7442	H7442a	—	heber	SDBH	006735000000000	רון	006735002001000	—	002004001009005	Shout	to shout	1
H7442	H7442b	—	heber	SDBH	006844000000000	רנן	006844001001000	—	002004001009005	Shout	to shout	3
H7442	H7442b	—	heber	SDBH	006844000000000	רנן	006844001002000	—	002001002022	Rejoice	to shout for joy	48
H7442	H7442b	—	heber	SDBH	006844000000000	רנן	006844001002000	—	002004001009005	Shout	to shout for joy	48
H7442	H7442b	—	heber	SDBH	006844000000000	רנן	006844001003000	—	002001002022	Rejoice	to cause to shout for joy	2
H7442	H7442b	—	heber	SDBH	006844000000000	רנן	006844001003000	—	002004001009005	Shout	to cause to shout for joy	2
H7443	H7443	—	heber	SDBH	006846000000000	רְנָנִים	006846001001000	—	001002006005	Birds	ostrich	1
H7444	H7444	—	heber	SDBH	006844000000000	רנן	006844001001000	—	002004001009005	Shout	to shout	3
H7444	H7444	—	heber	SDBH	006844000000000	רנן	006844001002000	—	002001002022	Rejoice	to shout for joy	48
H7444	H7444	—	heber	SDBH	006844000000000	רנן	006844001002000	—	002004001009005	Shout	to shout for joy	48
H7444	H7444	—	heber	SDBH	006844000000000	רנן	006844001003000	—	002001002022	Rejoice	to cause to shout for joy	2
H7444	H7444	—	heber	SDBH	006844000000000	רנן	006844001003000	—	002004001009005	Shout	to cause to shout for joy	2
H7445	H7445	—	heber	SDBH	006845000000000	רְנָנָה	006845001001000	—	002001002022	Rejoice	shouts of joy	4
H7445	H7445	—	heber	SDBH	006845000000000	רְנָנָה	006845001001000	—	002004001009005	Shout	shouts of joy	4
H7446	H7446	—	heber	SDBH	006847000000000	רִסָּה	006847001001000	—	003001010	Names of Locations	Rissah	2
H7447	H7447	—	heber	SDBH	006848000000000	רָסִיס	006848001001000	—	001002010011	Rain	damp; moisture	1
H7447	H7447	—	heber	SDBH	006848000000000	רָסִיס	006848002001000	—	001002009001	Buildings	piece; bit; fragment	1
H7448	H7448	—	heber	SDBH	006849000000000	רֶסֶן	006849001001000	—	001002008001017	Tools	bridle	3
H7448	H7448	—	heber	SDBH	006849000000000	רֶסֶן	006849001002000	—	002003002007	Control	self-control; restraint	1
H7448	H7448	—	heber	SDBH	006849000000000	רֶסֶן	006849002001000	—	003001010	Names of Locations	Resen	1
H7449	H7449	—	heber	SDBH	006849000000000	רֶסֶן	006849001001000	—	001002008001017	Tools	bridle	3
H7449	H7449	—	heber	SDBH	006849000000000	רֶסֶן	006849001002000	—	002003002007	Control	self-control; restraint	1
H7449	H7449	—	heber	SDBH	006849000000000	רֶסֶן	006849002001000	—	003001010	Names of Locations	Resen	1
H7450	H7450	—	heber	SDBH	006850000000000	רסס	006850001001000	—	002001001066	Wet	to moisten	1
H7451	H7451a	—	heber	SDBH	006852000000000	רַע	006852001001000	—	002001001007	Bad	bad	21
H7451	H7451a	—	heber	SDBH	006852000000000	רַע	006852001002000	—	002001002007	Evil	evil; wicked	41
H7451	H7451a	—	heber	SDBH	006852000000000	רַע	006852001003000	—	002001002009	Ferocious	fierce; wild; cruel	8
H7451	H7451a	—	heber	SDBH	006852000000000	רַע	006852001004000	—	002001002013	Grieve	sad; downcast	4
H7451	H7451a	—	heber	SDBH	006852000000000	רַע	006852001005000	—	002003003022	Unsafe	harm; misery; trouble; disaster; evil	65
H7451	H7451a	—	heber	SDBH	006852000000000	רַע	006852001006000	—	002001003020	Wrong	evil (actions)	210
H7451	H7451b	—	heber	SDBH	006852000000000	רַע	006852001001000	—	002001001007	Bad	bad	21
H7451	H7451b	—	heber	SDBH	006852000000000	רַע	006852001002000	—	002001002007	Evil	evil; wicked	41
H7451	H7451b	—	heber	SDBH	006852000000000	רַע	006852001003000	—	002001002009	Ferocious	fierce; wild; cruel	8
H7451	H7451b	—	heber	SDBH	006852000000000	רַע	006852001004000	—	002001002013	Grieve	sad; downcast	4
H7451	H7451b	—	heber	SDBH	006852000000000	רַע	006852001005000	—	002003003022	Unsafe	harm; misery; trouble; disaster; evil	65
H7451	H7451b	—	heber	SDBH	006852000000000	רַע	006852001006000	—	002001003020	Wrong	evil (actions)	210
H7451	H7451c	—	heber	SDBH	006864000000000	רָעָה	006864001001000	—	002001003020	Wrong	evil; wickedness; wrong	126
H7451	H7451c	—	heber	SDBH	006864000000000	רָעָה	006864001002000	—	002001002002	Angry	displeasure	2
H7451	H7451c	—	heber	SDBH	006864000000000	רָעָה	006864001003000	—	002003003022	Unsafe	trouble; disaster; harm; misfortune	185
H7452	H7452	—	heber	SDBH	006851000000000	רֵעַ	006851001001000	—	002004001009005	Shout	shouting; loud crying	3
H7452	H7452	—	heber	SDBH	006851000000000	רֵעַ	006851001002000	—	002004001009007	Sounds	thunder	1
H7452	H7452	—	heber	SDBH	006851000000000	רֵעַ	006851002001000	—	001002007003	Friends	friend; neighbor; companion; another person	189
H7452	H7452	—	heber	SDBH	006851000000000	רֵעַ	006851003001000	—	002004002013	Think	thought	2
H7453	H7453	—	heber	SDBH	006851000000000	רֵעַ	006851001001000	—	002004001009005	Shout	shouting; loud crying	3
H7453	H7453	—	heber	SDBH	006851000000000	רֵעַ	006851001002000	—	002004001009007	Sounds	thunder	1
H7453	H7453	—	heber	SDBH	006851000000000	רֵעַ	006851002001000	—	001002007003	Friends	friend; neighbor; companion; another person	189
H7453	H7453	—	heber	SDBH	006851000000000	רֵעַ	006851003001000	—	002004002013	Think	thought	2
H7454	H7454	—	heber	SDBH	006851000000000	רֵעַ	006851001001000	—	002004001009005	Shout	shouting; loud crying	3
H7454	H7454	—	heber	SDBH	006851000000000	רֵעַ	006851001002000	—	002004001009007	Sounds	thunder	1
H7454	H7454	—	heber	SDBH	006851000000000	רֵעַ	006851002001000	—	001002007003	Friends	friend; neighbor; companion; another person	189
H7454	H7454	—	heber	SDBH	006851000000000	רֵעַ	006851003001000	—	002004002013	Think	thought	2
H7455	H7455	—	heber	SDBH	006853000000000	רֹעַ	006853001001000	—	002001001007	Bad	bad; ugly	5
H7455	H7455	—	heber	SDBH	006853000000000	רֹעַ	006853001002000	—	002001002013	Grieve	sadness	1
H7455	H7455	—	heber	SDBH	006853000000000	רֹעַ	006853001003000	—	002001002013	Grieve	sadness	1
H7455	H7455	—	heber	SDBH	006853000000000	רֹעַ	006853001004000	—	002001003020	Wrong	evil; wickedness; wrong	12
H7456	H7456	—	heber	SDBH	006854000000000	רעב	006854001001000	—	002004001001002	Hunger	to be hungry; to starve	11
H7456	H7456	—	heber	SDBH	006854000000000	רעב	006854001002000	—	002004001001002	Hunger	to cause hunger; to let (one) go hungry	2
H7457	H7457	—	heber	SDBH	006855000000000	רָעֵב	006855001001000	—	002004001001002	Hunger	hungry	20
H7458	H7458	—	heber	SDBH	006856000000000	רָעָב	006856001001000	—	002004001001002	Hunger	hunger; famine	101
H7459	H7459	—	heber	SDBH	006857000000000	רְעָבֹון	006857001001000	—	002004001001002	Hunger	famine; starvation	3
H7460	H7460	—	heber	SDBH	006858000000000	רעד	006858001001000	—	002001001063	Unsteady	to tremble	3
H7461	H7461a	—	heber	SDBH	006859000000000	רַעַד	006859001001000	—	002001001063	Unsteady	trembling	2
H7461	H7461a	—	heber	SDBH	006859000000000	רַעַד	006859001001000	—	002001002001	Afraid	trembling	2
H7461	H7461b	—	heber	SDBH	006860000000000	רְעָדָה	006860001001000	—	002001001063	Unsteady	trembling	4
H7461	H7461b	—	heber	SDBH	006860000000000	רְעָדָה	006860001001000	—	002001002001	Afraid	trembling	4
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861001001000	—	002001001025	Ingest	to graze	26
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861001002000	—	002001001025	Ingest	to pasture; to feed; to shepherd	50
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861001003000	—	002003001021	Non-Whole	to shave	1
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861001004000	—	002003003011	Engage	to pursue	3
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861001005000	—	002002001012	Move	to shepherd > to carry away	1
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861001006000	—	001002007009	Professions	shepherd	85
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861001007000	—	001002007009	Professions	shepherdess	1
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861002001000	—	002003002002	Associate	to be the best man	1
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861002002000	—	002003002002	Associate	to associate; to make friendship	1
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861002003000	—	002003001004	Copulate	to consort (with a woman)	1
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861002004000	—	002003003011	Engage	to enjoy	1
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861002005000	—	001002007003	Friends	friend; neighbor; companion; another person	3
H7462	H7462	—	heber	SDBH	006861000000000	רעה	006861003001000	—	002001001007	Bad	to be bad	1
H7463	H7463	—	heber	SDBH	006862000000000	רֵעֶה	006862001001000	—	001002007003	Friends	friend	3
H7464	H7464	—	heber	SDBH	006863000000000	רֵעָה	006863001001000	—	001002007003	Friends	(female) companion	4
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861001001000	—	002001001025	Ingest	to graze	26
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861001002000	—	002001001025	Ingest	to pasture; to feed; to shepherd	50
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861001003000	—	002003001021	Non-Whole	to shave	1
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861001004000	—	002003003011	Engage	to pursue	3
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861001005000	—	002002001012	Move	to shepherd > to carry away	1
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861001006000	—	001002007009	Professions	shepherd	85
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861001007000	—	001002007009	Professions	shepherdess	1
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861002001000	—	002003002002	Associate	to be the best man	1
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861002002000	—	002003002002	Associate	to associate; to make friendship	1
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861002003000	—	002003001004	Copulate	to consort (with a woman)	1
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861002004000	—	002003003011	Engage	to enjoy	1
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861002005000	—	001002007003	Friends	friend; neighbor; companion; another person	3
H7465	H7465	—	heber	SDBH	006861000000000	רעה	006861003001000	—	002001001007	Bad	to be bad	1
H7466	H7466	—	heber	SDBH	006865000000000	רְעוּ	006865001001000	—	003001007	Names of People	Reu	5
H7466	H7466	—	heber	SDBH	006865000000000	רְעוּ	006865002001000	—	002001002028	Willing	will	2
H7467	H7467	—	heber	SDBH	006866000000000	רְעוּאֵל	006866001001000	—	003001007	Names of People	Reuel	7
H7467	H7467	—	heber	SDBH	006866000000000	רְעוּאֵל	006866001002000	—	003001007	Names of People	Reuel	2
H7467	H7467	—	heber	SDBH	006866000000000	רְעוּאֵל	006866001003000	—	003001007	Names of People	Reuel	1
H7467	H7467	—	heber	SDBH	006866000000000	רְעוּאֵל	006866001004000	—	003001007	Names of People	Reuel	1
H7468	H7468	—	heber	SDBH	006867000000000	רְעוּת	006867001001000	—	002003003013	Fail	to pursue the wind	7
H7468	H7468	—	heber	SDBH	006867000000000	רְעוּת	006867002001000	—	001002007003	Friends	(female) friend; neighbor; companion	6
H7469	H7469	—	heber	SDBH	006867000000000	רְעוּת	006867001001000	—	002003003013	Fail	to pursue the wind	7
H7469	H7469	—	heber	SDBH	006867000000000	רְעוּת	006867002001000	—	001002007003	Friends	(female) friend; neighbor; companion	6
H7470	A7470	—	arameus	SDBH	006865000000000	רְעוּ	006865001001000	—	003001007	Names of People	Reu	5
H7470	A7470	—	arameus	SDBH	006865000000000	רְעוּ	006865002001000	—	002001002028	Willing	will	2
H7471	H7471	—	heber	SDBH	006868000000000	רְעִי	006868001001000	—	001002003	Landscapes	pasture land	1
H7472	H7472	—	heber	SDBH	006869000000000	רֵעִי	006869001001000	—	003001007	Names of People	Rei	1
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861001001000	—	002001001025	Ingest	to graze	26
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861001002000	—	002001001025	Ingest	to pasture; to feed; to shepherd	50
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861001003000	—	002003001021	Non-Whole	to shave	1
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861001004000	—	002003003011	Engage	to pursue	3
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861001005000	—	002002001012	Move	to shepherd > to carry away	1
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861001006000	—	001002007009	Professions	shepherd	85
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861001007000	—	001002007009	Professions	shepherdess	1
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861002001000	—	002003002002	Associate	to be the best man	1
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861002002000	—	002003002002	Associate	to associate; to make friendship	1
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861002003000	—	002003001004	Copulate	to consort (with a woman)	1
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861002004000	—	002003003011	Engage	to enjoy	1
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861002005000	—	001002007003	Friends	friend; neighbor; companion; another person	3
H7473	H7473	—	heber	SDBH	006861000000000	רעה	006861003001000	—	002001001007	Bad	to be bad	1
H7474	H7474	—	heber	SDBH	006870000000000	רַעְיָה	006870001001000	—	001002007003	Friends	(my) friend; (my) love; (my) beloved	9
H7475	H7475	—	heber	SDBH	006871000000000	רַעְיֹון	006871001001000	—	002004002013	Think	thought; thinking	7
H7475	H7475	—	heber	SDBH	006871000000000	רַעְיֹון	006871002001000	—	002003003013	Fail	to pursue the wind	2
H7476	A7476	—	arameus	SDBH	006871000000000	רַעְיֹון	006871001001000	—	002004002013	Think	thought; thinking	7
H7476	A7476	—	arameus	SDBH	006871000000000	רַעְיֹון	006871002001000	—	002003003013	Fail	to pursue the wind	2
H7477	H7477	—	heber	SDBH	006872000000000	רעל	006872001001000	—	002001001063	Unsteady	to reel; to stagger	1
H7477	H7477	—	heber	SDBH	006872000000000	רעל	006872001002000	—	002002001011	Leap	to prance	1
H7478	H7478	—	heber	SDBH	006873000000000	רַעַל	006873001001000	—	002001001063	Unsteady	reeling; staggering	1
H7479	H7479	—	heber	SDBH	006874000000000	רְעָלָה	006874001001000	—	001002008001002	Clothing	veil; scarf	1
H7480	H7480	—	heber	SDBH	006875000000000	רְעֵלָיָה	006875001001000	—	003001007	Names of People	Reelaiah	1
H7481	H7481	—	heber	SDBH	006876000000000	רעם	006876001001000	—	002004001009007	Sounds	to roar	3
H7481	H7481	—	heber	SDBH	006876000000000	רעם	006876001002000	—	002004001009008	Speak	to thunder	8
H7481	H7481	—	heber	SDBH	006876000000000	רעם	006876002001000	—	002001002013	Grieve	to be downcast	1
H7481	H7481	—	heber	SDBH	006876000000000	רעם	006876002002000	—	002001002013	Grieve	to grieve	1
H7482	H7482	—	heber	SDBH	006877000000000	רַעַם	006877001001000	—	002004001009008	Speak	roaring; shouting	1
H7482	H7482	—	heber	SDBH	006877000000000	רַעַם	006877001002000	—	002004001009008	Speak	thundering	5
H7483	H7483	—	heber	SDBH	006878000000000	רַעְמָה	006878001001000	—	—	—	mane	1
H7483	H7483	—	heber	SDBH	006878000000000	רַעְמָה	006878002001000	—	003001007	Names of People	Raamah	5
H7484	H7484	—	heber	SDBH	006878000000000	רַעְמָה	006878001001000	—	—	—	mane	1
H7484	H7484	—	heber	SDBH	006878000000000	רַעְמָה	006878002001000	—	003001007	Names of People	Raamah	5
H7485	H7485	—	heber	SDBH	006879000000000	רַעַמְיָה	006879001001000	—	003001007	Names of People	Raamiah	1
H7486	H7486	—	heber	SDBH	006880000000000	רַעְמְסֵס	006880001001000	—	003001010	Names of Locations	Rameses	5
H7487	A7487	—	arameus	SDBH	006882000000000	רַעְנַן	006882001001000	—	002003003019	Safe	flourishing	1
H7488	H7488a	—	heber	SDBH	006881000000000	רען	006881001001000	—	002001001056	Stage	to grow luxuriant; to flourish	1
H7488	H7488b	—	heber	SDBH	006883000000000	רַעֲנָן	006883001001000	—	002001001056	Stage	green; flourishing; spreading	18
