# GENERÁLT: eszkozok/oshl_index_import.py — kézzel nem szerkesztendő.
# forras: openscriptures/HebrewLexicon @ 21c9add13bc727d3a951361778e97e3ff7afd1ce | LexicalIndex.xml sha256=8f7a605c58899d2f44430149c143c00903976e1e91232476677972a69e5bc85f
# licenc: CC BY 4.0 — Open Scriptures Hebrew Bible Project; l. konkordancia/OSHL_lexikalis_index_README.md
strong	strong_eredeti	twot	bdb_id	nyelv	oshl_id	lemma	atiras	szofaj	def_en
H8601	8601	2533	w.bi.al	heber	nwa	תֻּפִינִים	tupînîm	N	baken pieces
H8602	8602	2534a	w.bj.ab	heber	nwb	תָּפֵל	tāpēl	A	tasteless
H8602	8602	2535a	w.bk.ab	heber	nwc	תָּפֵל	tāpēl	A	whitewash
H8603	8603	—	w.bk.ac	heber	nwd	תֹּ֫פֶל	tōpel	Np	Tophel
H8604	8604	2534b	w.bj.ac	heber	nwh	תִּפְלָה	tiplâ	N	unsavouriness
H8605	8605	1776a	q.bq.ab	heber	nwg	תְּפִלָּה	tĕpillâ	N	prayer
H8606	8606	1778c	q.bs.ad	heber	nwi	תִּפְלֶ֫צֶת	tipleṣet	N	shuddering
H8607	8607	—	q.by.ac	heber	nwj	תִּפְסַח	tipsaḥ	Np	Tipsah
H8608	8608	2536	w.bl.ac	heber	nwk	תָּפַף	tāpap	V	sound the timbrel
H8609	8609	2537	w.bm.aa	heber	nwm	תָּפַר	tāpar	V	sew together
H8610	8610	2538	w.bn.aa	heber	nwn	תָּפַשׂ	tāpaś	V	lay hold of
H8611	8611	2499a	w.ak.ab	heber	nwp	תֹּ֫פֶת	tōpet	N	spitting
H8612	8612	2539	w.bn.ac	heber	nwo	תֹּ֫פֶת	tōpet	Np	Tophet
H8613	8613	—	w.bn.ad	heber	nwq	תׇּפְתֶּה	topteh	Np	Tophet
H8614	8614	3062	xw.ae.ae	arameus	pcr	תִּפְתָּיֵא	tiptāyēʾ	N	judicial
H8615	8615	1994d	s.aq.af	heber	nws	תִּקְוָה	tiqwâ	N	cord
H8615	8615	1994e	s.aq.ag	heber	nwr	תִּקְוָה	tiqwâ	N	hope
H8616	8616	—	s.aq.ah	heber	nwt	תִּקְוָה	tiqwâ	Np	Tikvah
H8617	8617	1999g	s.av.ak	heber	nwu	תְּקוּמָה	tĕqûmâ	N	standing
H8618	8618	1999?	s.av.al	heber	nwv	תְּקוֹמֵם	tĕqômēm	V	opponent
H8619	8619	2541b	w.bp.ac	heber	nwx	תָּקוֹעַ	tāqôaʿ	N	blast-instrument
H8620	8620	—	w.bp.ad	heber	nww	תְּקוֹעַ	tĕqôaʿ	Np	Tekoa
H8621	8621	—	w.bp.ae	heber	nwy	תְּקוֹעִי	tĕqôʿî	Ag	Tekoite
H8622	8622	2001a	s.aw.ab	heber	nwz	תְּקוּפָה	tĕqûpâ	N	coming round
H8623	8623	2542b	w.bq.ac	heber	nxa	תַּקִּיף	taqqîp	A	mighty
H8624	8624	3065c	xw.ai.ad	arameus	pcs	תַּקִּיף	taqqîp	A	strong
H8625	8625	3063	xw.ag.aa	arameus	pcu	תְּקַל	tĕqal	V	weigh
H8625	8625	3063a	xw.ag.ab	arameus	pct	תְּקֵל	tĕqēl	N	shekel
H8626	8626	2540	w.bo.aa	heber	nxb	תָּקַן	tāqan	V	become straight
H8627	8627	3064	xw.ah.aa	arameus	pcv	תְּקַן	tĕqan	V	be in order
H8628	8628	2541	w.bp.aa	heber	nxd	תָּקַע	tāqaʿ	V	thrust
H8629	8629	2541a	w.bp.ab	heber	nxc	תֵּ֫קַע	tēqaʿ	N	blast
H8630	8630	2542	w.bq.aa	heber	nxe	תָּקֵף	tāqēp	V	prevail over
H8631	8631	3065	xw.ai.aa	arameus	pcw	תְּקֵף	tĕqēp	V	grow strong
H8632	8632	3065a	xw.ai.ab	arameus	pcx	תְּקָף	tĕqāp	N	might
H8632	8632	3065b	xw.ai.ac	arameus	pcy	תְּקֹף	tĕqōp	N	power
