# GENERÁLT: eszkozok/ubs_dntg_import.py — kézzel nem szerkesztendő.
# forras: ubsicap/ubs-open-license @ 3a6edd8212df2e1189037ad39687726990c80d56 | UBSGreekNTDic-v1.1-en.JSON sha256=d84bb9077a43fa4a4f7e571fe2ffa460fa655d7b78439b366281ce527fd56893
# licenc: CC BY-SA 4.0 — © United Bible Societies; forrásmegjelölés: konkordancia/SDBH_SDGNT_README.md
strong	strong_kod	lemma	main_id	lexid	entry_kod	domen_kod	domen	definicio_rovid	definicio_hosszu	glosszak	megjegyzes
G2725	G2725a	κατήγωρ	002734000000000	002734001001000	33.429	033048	Accuse, Blame	(derivative of {L:κατηγορέω<SDBG:κατηγορέω:000000>} ‘to accuse,’ {D:33.427}) one who brings accusation	—	accuser	—
G2726	G2726	κατήφεια	002735000000000	002735001001000	25.296	025024	Discouragement	a state of mental gloominess and dejection	—	gloom; depression	In a number of languages it may be extremely difficult to speak of ‘changing’ one activity into another or one state into another, and so this expression in {S:05900400900032} must often be rendered as ‘instead of laughing, mourn, and instead of being happy, become sad.’
G2727	G2727	κατηχέω	002736000000000	002736001001000	33.225	033017	Teach	to teach in a systematic or detailed manner	—	to instruct; to teach	It is also possible to understand κατηχέω in {S:04200100400010} as denoting merely what has been told rather than what has been taught (see {L:κατηχέω<SDBG:κατηχέω:000001>}[b], {D:33.190}). This distinction is an important one since it implies a quite different relationship of Theophilus to the text of the Gospel of Luke. If {S:04200100400010} pertains merely to Theophilus ‘being told’ something, then one might assume that Theophilus was not a Christian, in which case he may have been a government official to whom the joint publications (the Gospel of Luke and the Acts of the Apostles) would have been directed as a defense of Christianity. On the other hand, if one understands κατηχέω in the sense of ‘to be taught’ or ‘to be instructed,’ then one would assume that Theophilus was a Christian who had been instructed in the faith. The relationship of Theophilus to the message would then determine in a number of contexts the difference between ‘we’ inclusive and ‘we’ exclusive.
G2727	G2727	κατηχέω	002736000000000	002736001002000	33.190	033015	Inform, Announce	to report in a relatively detailed manner	—	to report; to tell; to in form	It is also possible to understand {L:κατηχέω<SDBG:κατηχέω:000000>} in {S:04200100400010} as systematic teaching (see {D:33.225}).
G2728	G2728	κατιόω	002737000000000	002737001001000	2.61	002007	Metals	to undergo the process of oxidation of metals	—	to become rusty; to become tarnished; to corrode	See discussion at {D:2.60}.
G2729	G2729	κατισχύω	002738000000000	002738001001000	74.10	074	Able, Capable	to be completely capable of doing or experiencing something	—	to be completely able; to be fully able	For another interpretation of κατισχύω in {S:04202103600016}, see {D:79.64}.
G2729	G2729	κατισχύω	002738000000000	002738001002000	79.64	079013	Strong, Weak	to be physically strong enough for some purpose	—	to be strong enough to; to be able to; to have the strength to	For another interpretation of {L:κατισχύω<SDBG:κατισχύω:000000>} in {S:04202103600016}, see {D:74.10}.
G2729	G2729	κατισχύω	002738000000000	002738001003000	39.56	039012	Conquer	to prevail over something or some person so as to be able to defeat, with the implication that the successful participant has greater strength	—	to defeat; to prevail over	In some languages it may be impossible to personify ‘death’ and thus make it an agent of ‘defeating.’ However, it is possible to retain some of the figurative meaning involved, at least in some languages, by translating ‘and my church will never die out’ or ‘and my church will never die.’
G2730	G2730	κατοικέω	002739000000000	002739001001000	85.69	085005	Dwell, Reside	to live or dwell in a place in an established or settled manner	—	to live; to dwell; to reside	The quotation from {S:01906902500000} in {S:04400102000030} normally requires a literal rendering, but the entire passage is figurative.
G2730	G2730a	κατοικίζω	002743000000000	002743001001000	85.82	085005	Dwell, Reside	(a figurative extension of meaning of κατοικίζω ‘to cause to dwell,’ not occurring in the NT) to cause to be in a place defined psychologically or spiritually	—	to put within; to cause to dwell	—
G2731	G2731	κατοίκησις	002740000000000	002740001001000	85.70	085005	Dwell, Reside	(derivative of {L:κατοικέω<SDBG:κατοικέω:000000>} ‘to dwell,’ {D:85.69}) a place of dwelling, whether an object or area{N:001}	—	dwelling place; dwelling	—
G2732	G2732	κατοικητήριον	002741000000000	002741001001000	85.70	085005	Dwell, Reside	(derivative of {L:κατοικέω<SDBG:κατοικέω:000000>} ‘to dwell,’ {D:85.69}) a place of dwelling, whether an object or area{N:001}	—	dwelling place; dwelling	—
G2733	G2733	κατοικία	002742000000000	002742001001000	85.70	085005	Dwell, Reside	(derivative of {L:κατοικέω<SDBG:κατοικέω:000000>} ‘to dwell,’ {D:85.69}) a place of dwelling, whether an object or area{N:001}	—	dwelling place; dwelling	—
G2734	G2734	κατοπτρίζω	002744000000000	002744001001000	24.44	024001	See	to see indirectly or by reflection as in a mirror	—	to see as in a mirror; to see by reflection	The phrase ‘as in a mirror’ may be translated in some languages as ‘as though we were looking into a mirror’ or ‘as though what we saw was in a mirror.’ In some languages, however, one does not say ‘in a mirror’ but ‘through a mirror’ or ‘by means of a mirror.’ For another interpretation of κατοπτρίζομαι in {S:04700301800018}, see {D:14.52}.
G2734	G2734	κατοπτρίζω	002744000000000	002744001002000	14.52	014006	Light	to reflect light or visual patterns coming from some source	—	to reflect	In order to speak of a reflection of light, it may be necessary to say ‘to throw back the light’ or ‘to shine back the form.’ Sometimes it is necessary to stipulate a type of object which reflects such light, for example, ‘we are a shining object that shows back the glory of the Lord.’ For another interpretation of κατοπτρίζομαι in {S:04700301800018}, see {D:24.44}.
G2735	G2735a	διόρθωμα	001373000000000	001373001001000	72.17	072002	Accurate, Inaccurate	the result of having corrected a wrong or bad situation	—	reform	In some languages ‘reforms’ may be rendered as ‘changes from bad to good’ or ‘making things what they should be’ or ‘causing new good customs.’
G2736	G2736	κάτω	002745000000000	002745001001000	83.53	083009	Above, Below	a position immediately or directly below a point of orientation, which is often left implicit	—	below	In a number of languages it is not possible to speak of something ‘below’ without indicating precisely what is involved, but in the case of {S:04400201900026} it would be irrelevant to say ‘marvels on the earth below the sky.’ Therefore, one may perhaps most satisfactorily translate this expression in {S:04400201900026} as ‘marvels here on the earth.’
G2736	G2736	κάτω	002745000000000	002745001002000	84.26	084002	Extension To a Goal	extension toward a goal which is down or below	—	down; down to; below to	—
G2736	G2736a	κατωτέρω	002747000000000	002747001001000	59.16	059002	Much, Little [Masses, Collectives, Extensions]	pertaining to a lesser amount or extent	—	less; under	—
G2737	G2737	κατώτερος	002746000000000	002746001001000	83.54	083009	Above, Below	pertaining to being in a position below a point of orientation	—	low; lower	See discussion at {D:1.18}.
G2738	G2738	καῦμα	002749000000000	002749001001000	14.67	014008	Burning	heat sufficiently intense to cause suffering or burning	—	heat; scorching heat	In some languages the effect of heat may be described simply as ‘heat will not scorch them’ or ‘they will not suffer because of heat’ ({S:06600701600032}). Such expressions, however, may be ambiguous because they might mean that the individuals involved would be able to easily withstand the heat. The meaning of the biblical passage, however, is that there would be no heat to cause them harm.
G2739	G2739	καυματίζω	002750000000000	002750001001000	14.68	014008	Burning	to cause to suffer because of intense heat	—	to harm by heat; to scorch	—
G2740	G2740	καῦσις	002751000000000	002751001001000	14.63	014008	Burning	the process of burning	—	to burn; burning; to be on fire	In a number of languages important distinctions are made in the use of terms for burning. For example, the burning of a substance for light, as in the case of a lamp or candle, may be indicated by a term quite different from an expression indicating the destruction or burning up of something. Similarly, the burning of wood for cooking may require still another term. The extent or size of the fire involved may also require some distinctions in terms for burning.
G2741	G2741	καυσόω	002752000000000	002752001001000	14.63	014008	Burning	the process of burning	—	to burn; burning; to be on fire	In a number of languages important distinctions are made in the use of terms for burning. For example, the burning of a substance for light, as in the case of a lamp or candle, may be indicated by a term quite different from an expression indicating the destruction or burning up of something. Similarly, the burning of wood for cooking may require still another term. The extent or size of the fire involved may also require some distinctions in terms for burning.
G2742	G2742	καύσων	002754000000000	002754001001000	14.67	014008	Burning	heat sufficiently intense to cause suffering or burning	—	heat; scorching heat	In some languages the effect of heat may be described simply as ‘heat will not scorch them’ or ‘they will not suffer because of heat.’ Such expressions, however, may be ambiguous because they might mean that the individuals involved would be able to easily withstand the heat. The meaning of the biblical passage, however, is that there would be no heat to cause them harm.
G2743	G2743a	καυστηριάζω	002753000000000	002753001001000	27.54	027005	Be Willing To Learn	(an idiom, literally: to be seared in the conscience, or: to be seared as to one’s conscience) to be unwilling to learn from one’s conscience	—	to refuse to listen to one’s conscience; to be completely insensitive to	—
G2744	G2744	καυχάομαι	002755000000000	002755001001000	33.368	033039	Boast	to express an unusually high degree of confidence in someone or something being exceptionally noteworthy{N:001}	—	to boast	Whether in any particular context the boasting is legitimate or not depends upon what is boasted about. In a number of languages, however, quite different terms are employed, depending upon the differing degrees of justification for such boasting.
G2744	G2744a	ἐγκαυχάομαι	001484000000000	001484001001000	33.368	033039	Boast	to express an unusually high degree of confidence in someone or something being exceptionally noteworthy{N:001}	—	to boast	Whether in any particular context the boasting is legitimate or not depends upon what is boasted about. In a number of languages, however, quite different terms are employed, depending upon the differing degrees of justification for such boasting.
G2745	G2745	καύχημα	002756000000000	002756001001000	33.368	033039	Boast	to express an unusually high degree of confidence in someone or something being exceptionally noteworthy{N:001}	—	to boast	Whether in any particular context the boasting is legitimate or not depends upon what is boasted about. In a number of languages, however, quite different terms are employed, depending upon the differing degrees of justification for such boasting.
G2745	G2745	καύχημα	002756000000000	002756001002000	33.371	033039	Boast	(derivative of {L:καυχάομαι<SDBG:καυχάομαι:000000>} ‘to boast,’ {D:33.368}) the referent of boasting, namely, that which one boasts about	—	what one boasts about	For another interpretation of καύχημα in {S:04700101400016}, see {D:25.203}.
G2745	G2745	καύχημα	002756000000000	002756001003000	33.372	033039	Boast	the justification for boasting	—	the right to boast	—
G2745	G2745	καύχημα	002756000000000	002756001004000	25.203	025019	Pride [legitimate]	the basis for or the content of one’s feeling of legitimate pride	—	basis of pride; reason for being proud	For another interpretation of καύχημα in {S:04700101400016}, see {D:33.371}.
G2746	G2746	καύχησις	002757000000000	002757001001000	33.368	033039	Boast	to express an unusually high degree of confidence in someone or something being exceptionally noteworthy{N:001}	—	to boast	Whether in any particular context the boasting is legitimate or not depends upon what is boasted about. In a number of languages, however, quite different terms are employed, depending upon the differing degrees of justification for such boasting.
G2746	G2746	καύχησις	002757000000000	002757001002000	33.371	033039	Boast	(derivative of {L:καυχάομαι<SDBG:καυχάομαι:000000>} ‘to boast,’ {D:33.368}) the referent of boasting, namely, that which one boasts about	—	what one boasts about	—
G2746	G2746	καύχησις	002757000000000	002757001003000	25.204	025019	Pride [legitimate]	the state of being rightfully proud	—	pride; to be proud	—
G2747	G2747	Κεγχρεαί	002759000000000	002759001001000	93.499	093002	Places	a seaport of the city of Corinth	—	Cenchreae	—
G2748	G2748	Κεδρών	002760000000000	002760001001000	93.500	093002	Places	a valley between Jerusalem and the Mount of Olives	—	Kidron	—
G2749	G2749	κεῖμαι	002761000000000	002761001001000	17.26	017007	Lie	to be in a lying or reclining position	—	to lie; to recline	—
G2749	G2749	κεῖμαι	002761000000000	002761001002000	85.3	085001	Be in a Place	to be in a place, frequently in the sense of ‘being contained in’ or ‘resting on’	—	to be; to lie	—
G2749	G2749	κεῖμαι	002761000000000	002761001003000	13.73	013003	Exist	to exist, with the implication of having been established and thus having continuity and purpose	—	to exist; to exist for; to be set	—
G2750	G2750	κειρία	002762000000000	002762001001000	6.156	006017	Cloth, Leather, and Objects Made of Such Materials	small piece of cloth; used for wrapping something	—	band of cloth; strip of cloth	In {S:04301104400020} one may translate ‘the strips of cloth that had been put around the body of Lazarus.’
G2751	G2751	κείρω	002763000000000	002763001001000	19.23	019002	Pierce, Cut	to cut the hair of a person or animal	—	to cut hair; to shear	—
G2752	G2752	κέλευσμα	002764000000000	002764001001000	33.324	033032	Command, Order	(derivative of {L:κελεύω<SDBG:κελεύω:000000>} ‘to command,’ {D:33.323}) the voicing of a command	—	command; call of command	In a number of languages the expression ‘at the word of command’ may be rendered as ‘when the command is given’ or ‘when the command is shouted.’
G2753	G2753	κελεύω	002765000000000	002765001001000	33.323	033032	Command, Order	to state with force and/or authority what others must do	—	to order; to command	In a number of languages the equivalent of ‘to order’ or ‘to command’ is ‘to speak with strength’ or ‘to speak strong words’ or, in the form of direct discourse, ‘to tell others, You must …’
G2754	G2754	κενοδοξία	002766000000000	002766001001000	88.221	088027	Arrogance, Haughtiness, Pride	a state of pride which is without basis or justification	—	empty pride; cheap pride; vain pride	—
G2755	G2755	κενόδοξος	002767000000000	002767001001000	88.222	088027	Arrogance, Haughtiness, Pride	pertaining to being proud without basis or justification	—	falsely proud	It is often possible to render ‘to be falsely proud’ as ‘to be proud when there is no reason to be proud’ or ‘to be proud even when there is nothing to be proud of.’
G2756	G2756	κενός	002768000000000	002768001001000	57.42	057005	Need, Lack	pertaining to being without anything	—	without anything; empty; empty-handed	—
G2756	G2756	κενός	002768000000000	002768001002000	32.60	032005	Lack of Capacity for Understanding	(a figurative extension of meaning of {L:κενός<SDBG:κενός:000000>}[a] ‘empty,’ {D:57.42}) pertaining to a complete lack of understanding and insight	—	foolish; stupid	—
G2756	G2756	κενός	002768000000000	002768001003000	89.53	089008	Result	pertaining to being lacking in results	—	without result; without effect	In {S:04601501400024}, one may understand purpose rather than result, and hence one can translate ‘our message is indeed without purpose’ (see {D:89.64}). For yet another interpretation of κενός in {S:04601501400024}, see {D:72.10}.
G2756	G2756	κενός	002768000000000	002768001004000	89.64	089009	Purpose	pertaining to being totally without purpose	—	in vain; for no purpose	For other interpretations of κενός in {S:04601501400024}, see {D:72.10} and {D:89.53}.
G2756	G2756	κενός	002768000000000	002768001005000	72.10	072	True, False	pertaining to being untrue in view of lacking truth	—	untrue; lacking in truth	For other interpretations of κενός in {S:04601501400024}, see {D:89.53} and {D:89.64}.
G2757	G2757	κενοφωνία	002769000000000	002769001001000	33.376	033040	Foolish Talk	talk which lacks significant content	—	foolish talk; empty talk	‘Foolish talk’ may often be expressed as ‘to talk the way fools talk’ or ‘to talk with a smirk on the face.’
G2758	G2758	κενόω	002770000000000	002770001001000	76.27	076	Power, Force	to take away the power or significance of something	—	to cause to lose power; to cause to be emptied of power; to make powerless	—
G2758	G2758	κενόω	002770000000000	002770001002000	87.70	087004	Low Status or Rank [including persons of low status]	to completely remove or eliminate elements of high status or rank by eliminating all privileges or prerogatives associated with such status or rank	—	to empty oneself; to divest oneself of position	—
G2759	G2759	κέντρον	002771000000000	002771001001000	8.45	008002	Parts of the Body	a sharp, pointed projection used in stinging	—	sting; stinger	—
G2759	G2759	κέντρον	002771000000000	002771001002000	6.9	006002	Instruments Used in Agriculture and Husbandry	a pointed stick used in driving draft animals	—	goad	In the NT κέντρον[b] occurs only in the idiom πρὸς κέντρον λακτίζειν 'to kick against the goad;' meaning to hurt oneself by active resistance.{N:001} See {D:39.19}.
G2759	G2759	κέντρον	002771000000000	002771001003000	20.69	020004	Kill	(a figurative extension of meaning of {L:κέντρον<SDBG:κέντρον:000000>}[a] ‘sting,’ {D:8.45}) the power or ability to kill or destroy	—	power to kill; power to destroy	For another interpretation of κέντρον in {S:04601505500020}, see {D:24.86}.
G2759	G2759	κέντρον	002771000000000	002771001004000	24.86	024006	Pain, Suffering	(a figurative extension of meaning of {L:κέντρον<SDBG:κέντρον:000000>}[a] ‘sting,’ {D:8.45}) the means or capacity to cause severe suffering	—	means to hurt; power to cause suffering	For another interpretation of κέντρον in {S:04601505500020}, see {D:20.69}.
G2760	G2760	κεντυρίων	002772000000000	002772001001000	55.16	055004	Soldiers, Officers	a Roman officer in command of about one hundred men	—	centurion; captain	In a number of languages, centurion can very readily be rendered by a phrase such as ‘a commander of a hundred soldiers,’ but in many instances the closest natural equivalent is simply ‘captain.’
G2761	G2761	κενῶς	002773000000000	002773001001000	89.64	089009	Purpose	pertaining to being totally without purpose	—	in vain; for no purpose	—
G2762	G2762	κεραία	002774000000000	002774001001000	33.37	033005	Written Language	a part of a letter of the alphabet	—	stroke; short mark; short line of a letter; part of a letter	The reference of {L:ἰῶτα<SDBG:ἰῶτα:000000>} ({D:33.36}) and κεραία is to the small details of the Law, and therefore it may be appropriate in many languages to translate {S:04000501800034} as ‘not one of the smallest parts of the Law will be done away with’ or ‘… will become null and void.’
G2763	G2763	κεραμεύς	002775000000000	002775001001000	6.129	006016	Containers	(derivative of {L:κεράμιον<SDBG:κεράμιον:000000>} ‘earthenware vessel,’ {D:6.128}) one who makes earthenware vessels	—	potter	—
G2764	G2764	κεραμικός	002776000000000	002776001001000	2.19	002005	Earth, Mud, Sand, Rock	(derivative of {L:κέραμος<SDBG:κέραμος:000000>} ‘potter’s clay,’ not occurring in the NT) pertaining to being made of potter’s clay	—	made of clay; clay	In some languages it may seem unduly repetitious to speak of ‘clay pots’ in {S:06600202700022} since a term for pot may refer only to objects made of clay. In biblical times, however, some σκεύη were of metal and others were of stone and wood. It may be possible to translate this expression in {S:06600202700022} as ‘they shall be broken like pots’ or ‘… like dishes.’
G2765	G2765	κεράμιον	002777000000000	002777001001000	6.128	006016	Containers	an earthenware container for storing or carrying liquids	—	jar; vessel	—
G2766	G2766	κέραμος	002778000000000	002778001001000	6.224	006023	Miscellaneous	a thin slab or bent piece of baked clay; used to cover a roof	—	tile; roof tile	—
G2767	G2767	κεράννυμι	002779000000000	002779001001000	63.9	063003	Mix	to mix substances, normally liquids	—	to mix	Note that in the process of mixing, the various substances become a single mass, and the constituent parts are indistinguishable. For another interpretation of κεράννυμι in {S:06601401000024}, see {D:47.3}.
G2767	G2767	κεράννυμι	002779000000000	002779001002000	47.3	047001	Movement of Liquids or Masses	to pour something out	—	to pour; to pour out	Since κεράννυμι normally means ‘to mix,’ it is possible to interpret the participial form κεκερασμένου in {S:06601401000024} as meaning ‘to be mixed’ (see {D:63.9}), but this would seem to contradict in some measure the following adjective {L:ἄκρατος<SDBG:ἄκρατος:000000>} ‘full strength, pure’ ({D:79.99}).
G2768	G2768	κέρας	002780000000000	002780001001000	8.17	008002	Parts of the Body	the hard bony outgrowth on the heads of certain animals	—	horn	Finding a term for ‘horn’ is usually not at all difficult. The problem arises when a term for ‘horn’ is already employed in a receptor language as a euphemistic expression for the male genital organ. It may therefore be necessary in {S:06600500600042} to speak of ‘a lamb with seven horns on his head.’|In speaking of the horn-shaped corners of the altar ({S:06600901300026}), it is often better not to use a term meaning literally horn, since this might imply that the altar had the horns of animals stuck on to the corners. One can normally say ‘corners of the altar shaped like horns’ or ‘… looking like horns or projections on the corners of the altar.’ See {D:79.105}.
G2768	G2768	κέρας	002780000000000	002780001002000	79.105	079023	Shapes	a projection at the corner of an object	—	projection; corner	—
G2768	G2768	κέρας	002780000000000	002780001003000	76.16	076	Power, Force	(a figurative extension of meaning of {L:κέρας<SDBG:κέρας:000000>}[a] ‘horn,’ {D:8.17}) power of unusual significance	—	power; mighty power	In {S:04200106900006} the reference of the phrase κέρας σωτηρίας is to the role of the Messiah, and accordingly one may often best render this phrase as ‘mighty Savior’ or ‘powerful Savior.’
G2769	G2769	κεράτιον	002781000000000	002781001001000	3.46	003004	Fruit Parts of Plants	(a diminutive derivative of {L:κέρας<SDBG:κέρας:000000>}[a] ‘horn,’ {D:8.17}) the pod of the carob tree (which closely resembles a small horn)	—	carob pod	Carob pods were commonly used for fattening swine and were employed as an article of food by poor people. In translating {S:04201501600012} it is not necessary, however, to identify specifically carob pods. In most languages some such expression as ‘edible pods’ is probably more satisfactory, since carob trees are unlikely to be known.
G2770	G2770	κερδαίνω	002782000000000	002782001001000	57.189	057016	Earn, Gain, Do Business	to gain by means of one’s activity or investment	—	to earn; to gain; to make a profit	—
G2770	G2770	κερδαίνω	002782000000000	002782001002000	13.137	013004	Happen	to cause a loss not to happen{N:001}	—	to avoid; to cause not to occur	—
G2771	G2771	κέρδος	002783000000000	002783001001000	57.192	057016	Earn, Gain, Do Business	(derivative of {L:κερδαίνω<SDBG:κερδαίνω:000000>}[a] ‘to earn, to gain,’ {D:57.189}) that which is gained or earned	—	gain; profit	κέρδος in the sense of ‘gain’ is not restricted, however, to monetary gain or profit. It may refer to any kind of benefit or advantage, for example, ἐμοὶ γὰρ τὸ ζῆν Χριστὸς καὶ τὸ ἀποθανεῖν κέρδος ‘for me life is Christ, and death is a gain’ {S:05000102100018}.
G2772	G2772	κέρμα	002784000000000	002784001001000	6.71	006011	Money and Monetary Units	coins of lesser value	—	coin; change	—
G2773	G2773	κερματιστής	002785000000000	002785001001000	57.205	057016	Earn, Gain, Do Business	one who exchanges currency, either in terms of different types of currency or different values of the same currency	—	moneychanger	—
G2774	G2774	κεφάλαιον	002786000000000	002786001001000	33.12	033003	Discourse Types	a brief statement of the main point of a previously given discourse	—	main point; summary	—
G2774	G2774	κεφάλαιον	002786000000000	002786001002000	57.162	057012	Pay, Price, Cost	a sum of money	—	some money; price	—
G2775	G2775	κεφαλιόω	002788000000000	002788001001000	19.13	019001	Hit, Strike	to beat someone on the head, implying repeated blows	—	to beat on the head	—
G2776	G2776	κεφαλή	002787000000000	002787001001000	8.10	008002	Parts of the Body	uppermost part of the human body, or the front or upper part of the body of an animal, typically separated from the rest of the body by a neck, and containing the brain, mouth, and sense organs; associated with the entire person, that person’s life and responsibilities	—	head	In some languages it may be necessary to distinguish clearly between the head which is still a part of a body and a severed head. It is this latter meaning which is obviously involved in {S:04100602500038}.|In rendering {S:04601100400022}, πᾶς ἀνὴρ προσευχόμενος ἢ προφητεύων κατὰ κεφαλῆς ἔχων ‘any man who prays or prophesies with his head covered,’ it may be important to indicate that the covering is not one which is designed to cover the entire head including the face, but only the top of the head. The same applies, of course, to {S:04601100500024} and {S:04601100700016}.
